title,description,source,mode,themes,entities,factsCount,topic,background,framing_debate,faithfulness,relevance,controversy,framing,coherence,overall,average,selected
"US stock market jumps as US-Iran deal stirs hopes for end to energy turmoil - Al Jazeera","Benchmark S&P 500 rises 1.7 percent, while tech-heavy Nasdaq jumps 3.1 percent.","Al Jazeera English","philosophical","stock market performance; US-Iran relations; energy markets","United States; Iran; S&P 500; Nasdaq; Al Jazeera English","The US stock market jumped.; A US-Iran deal stirred hopes for an end to energy turmoil.; The S&P 500 rose 1.7 percent.; The Nasdaq jumped 3.1 percent.","Should expectations of a US‑Iran agreement be a primary factor in investors' long‑term stock market strategies?","The US stock market jumped, with the S&P 500 rising 1.7 percent and the Nasdaq climbing 3.1 percent. A US‑Iran deal stirred hopes for an end to energy turmoil. These developments occurred concurrently.","To what extent should hopes for a US‑Iran agreement shape long‑term investment decisions?","10","10","7","10","10","9.4","9.4","1"
"US stock market jumps as US-Iran deal stirs hopes for end to energy turmoil - Al Jazeera","Benchmark S&P 500 rises 1.7 percent, while tech-heavy Nasdaq jumps 3.1 percent.","Al Jazeera English","controversy","stock market performance; US-Iran relations; energy markets","United States; Iran; S&P 500; Nasdaq; Al Jazeera English","The US stock market jumped.; A US-Iran deal stirred hopes for an end to energy turmoil.; The S&P 500 rose 1.7 percent.; The Nasdaq jumped 3.1 percent.","Did the US‑Iran agreement underlying hopes for stable energy markets significantly boost U.S. stock market gains?","The U.S. stock market jumped, with the S&P 500 rising 1.7 percent and the Nasdaq climbing 3.1 percent. A U.S.–Iran deal stirred hopes for an end to energy turmoil.","To what extent did the optimism surrounding the U.S.–Iran agreement influence the recent surge in U.S. equity indices?","9","10","7","9","9","8.8","8.8","1"
"US stock market jumps as US-Iran deal stirs hopes for end to energy turmoil - Al Jazeera","Benchmark S&P 500 rises 1.7 percent, while tech-heavy Nasdaq jumps 3.1 percent.","Al Jazeera English","viral","stock market performance; US-Iran relations; energy markets","United States; Iran; S&P 500; Nasdaq; Al Jazeera English","The US stock market jumped.; A US-Iran deal stirred hopes for an end to energy turmoil.; The S&P 500 rose 1.7 percent.; The Nasdaq jumped 3.1 percent.","Should investors base their portfolio strategies on geopolitical developments like the US‑Iran deal?","The US stock market jumped, with the S&P 500 rising 1.7 percent and the Nasdaq climbing 3.1 percent. A US‑Iran deal stirred hopes for an end to energy turmoil, influencing market sentiment.","Should investors adjust their portfolio strategies in response to geopolitical events such as the US‑Iran agreement?","9","10","7","9","9","9","8.8","1"
"US stock market jumps as US-Iran deal stirs hopes for end to energy turmoil - Al Jazeera","Benchmark S&P 500 rises 1.7 percent, while tech-heavy Nasdaq jumps 3.1 percent.","Al Jazeera English","emotional","stock market performance; US-Iran relations; energy markets","United States; Iran; S&P 500; Nasdaq; Al Jazeera English","The US stock market jumped.; A US-Iran deal stirred hopes for an end to energy turmoil.; The S&P 500 rose 1.7 percent.; The Nasdaq jumped 3.1 percent.","Should investors base their portfolio strategies on geopolitical developments like the US‑Iran agreement?","The US stock market jumped, with the S&P 500 rising 1.7 percent and the Nasdaq climbing 3.1 percent. A US‑Iran deal stirred hopes for an end to energy turmoil, influencing market sentiment.","How much weight should geopolitical events, such as the US‑Iran agreement, have in shaping investment decisions?","9","10","9","9","9","9.2","9.2","1"
"Iran opens a politically charged World Cup by playing to a 2-2 draw with New Zealand - AP News","The coach of Iran’s World Cup team says it was ordered to leave the U.S. and return to its training base in Mexico only a few hours after opening its politically charged tournament by playing to a 2-2 draw with New Zealand. Coach Amir Ghalenoei didn’t say who…","Associated Press","philosophical","sports; football; political interference; tournament opening","Iran; New Zealand; World Cup; Amir Ghalenoei; United States; Mexico; Associated Press","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match.; Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match.; The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Should national football teams be allowed to continue competing in international tournaments when they receive undisclosed orders to relocate during the event?","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match. Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match. The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Is it appropriate for governing bodies to permit or block a team's participation when it faces unexplained relocation orders during a tournament?","9","10","7","9","9","9","8.8","1"
"Iran opens a politically charged World Cup by playing to a 2-2 draw with New Zealand - AP News","The coach of Iran’s World Cup team says it was ordered to leave the U.S. and return to its training base in Mexico only a few hours after opening its politically charged tournament by playing to a 2-2 draw with New Zealand. Coach Amir Ghalenoei didn’t say who…","Associated Press","controversy","sports; football; political interference; tournament opening","Iran; New Zealand; World Cup; Amir Ghalenoei; United States; Mexico; Associated Press","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match.; Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match.; The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Should national football teams be allowed to continue competing in international tournaments when political orders force them to relocate mid‑tournament?","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match. Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match. The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Should national football teams be allowed to continue competing in international tournaments when political orders force them to relocate mid‑tournament?","9","10","8","9","9","9","9","1"
"Iran opens a politically charged World Cup by playing to a 2-2 draw with New Zealand - AP News","The coach of Iran’s World Cup team says it was ordered to leave the U.S. and return to its training base in Mexico only a few hours after opening its politically charged tournament by playing to a 2-2 draw with New Zealand. Coach Amir Ghalenoei didn’t say who…","Associated Press","viral","sports; football; political interference; tournament opening","Iran; New Zealand; World Cup; Amir Ghalenoei; United States; Mexico; Associated Press","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match.; Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match.; The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Should governments be allowed to intervene in international sports competitions by ordering their teams to relocate mid‑tournament?","Iran's World Cup team drew 2-2 with New Zealand in their opening match. Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the match. The order was given to the Iranian team, but the source of the order was not disclosed.","Is it appropriate for a government or external authority to dictate the movements of a national team during a global tournament?","9","10","8","9","9","9","9","1"
"Iran opens a politically charged World Cup by playing to a 2-2 draw with New Zealand - AP News","The coach of Iran’s World Cup team says it was ordered to leave the U.S. and return to its training base in Mexico only a few hours after opening its politically charged tournament by playing to a 2-2 draw with New Zealand. Coach Amir Ghalenoei didn’t say who…","Associated Press","emotional","sports; football; political interference; tournament opening","Iran; New Zealand; World Cup; Amir Ghalenoei; United States; Mexico; Associated Press","Iran's World Cup team played to a 2-2 draw with New Zealand in their opening match.; Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the opening match.; The order to leave the United States was given to the Iranian team, but the source of the order was not disclosed.","Should geopolitical considerations influence the participation and logistics of national teams in international sporting events?","Iran's World Cup team drew 2-2 with New Zealand in their opening match. Coach Amir Ghalenoei said the team was ordered to leave the United States and return to its training base in Mexico only a few hours after the match. The source of the order was not disclosed, though it required the team to exit U.S. territory.","To what extent, if any, should political factors affect where and how national football teams compete in global tournaments?","9","10","9","9","9","9.2","9.2","1"
"Jelly Roll Files for Divorce From Bunnie XO After Nearly 10 Years of Marriage - Billboard","Jelly Roll has filed for divorce from his wife Bunnie XO, ending their nearly decade-long marriage, according to court documents obtained by TMZ.","Billboard","philosophical","Divorce; Celebrity marriage; Legal proceedings","Jelly Roll; Bunnie XO; Billboard; TMZ","Jelly Roll filed for divorce from his wife Bunnie XO.; The marriage lasted nearly a decade.; The information comes from court documents obtained by TMZ.; The story was reported by Billboard on 2026-06-16.","Should celebrity divorces be treated the same as non‑celebrity divorces in terms of legal privacy and media coverage?","Jelly Roll filed for divorce from his wife Bunnie XO after nearly ten years of marriage. The filing was documented in court papers obtained by TMZ. Billboard reported the development on 2026-06-16.","Should the legal and media handling of celebrity divorces differ from that of ordinary citizens?","9","9","7","9","9","8.6","8.6","1"
"Jelly Roll Files for Divorce From Bunnie XO After Nearly 10 Years of Marriage - Billboard","Jelly Roll has filed for divorce from his wife Bunnie XO, ending their nearly decade-long marriage, according to court documents obtained by TMZ.","Billboard","controversy","Divorce; Celebrity marriage; Legal proceedings","Jelly Roll; Bunnie XO; Billboard; TMZ","Jelly Roll filed for divorce from his wife Bunnie XO.; The marriage lasted nearly a decade.; The information comes from court documents obtained by TMZ.; The story was reported by Billboard on 2026-06-16.","Should celebrity divorces be treated as private family matters or as newsworthy public events?","Jelly Roll filed for divorce from his wife Bunnie XO after nearly a decade of marriage. The filing is documented in court records obtained by TMZ. Billboard reported the development on 2026-06-16.","Is it appropriate for the media and the public to focus extensively on the personal legal proceedings of celebrities?","10","10","9","9","9","9.4","9.4","1"
"Jelly Roll Files for Divorce From Bunnie XO After Nearly 10 Years of Marriage - Billboard","Jelly Roll has filed for divorce from his wife Bunnie XO, ending their nearly decade-long marriage, according to court documents obtained by TMZ.","Billboard","viral","Divorce; Celebrity marriage; Legal proceedings","Jelly Roll; Bunnie XO; Billboard; TMZ","Jelly Roll filed for divorce from his wife Bunnie XO.; The marriage lasted nearly a decade.; The information comes from court documents obtained by TMZ.; The story was reported by Billboard on 2026-06-16.","Should the media's coverage of celebrity divorces be limited to protect the individuals' privacy?","Jelly Roll filed for divorce from his wife Bunnie XO, ending a marriage that lasted nearly a decade. The filing was confirmed by court documents obtained by TMZ. Billboard reported the development on 2026-06-16.","Is it appropriate for the media to extensively report on the personal legal matters of celebrities?","9","9","7","8","9","8.4","8.4","1"
"Jelly Roll Files for Divorce From Bunnie XO After Nearly 10 Years of Marriage - Billboard","Jelly Roll has filed for divorce from his wife Bunnie XO, ending their nearly decade-long marriage, according to court documents obtained by TMZ.","Billboard","emotional","Divorce; Celebrity marriage; Legal proceedings","Jelly Roll; Bunnie XO; Billboard; TMZ","Jelly Roll filed for divorce from his wife Bunnie XO.; The marriage lasted nearly a decade.; The information comes from court documents obtained by TMZ.; The story was reported by Billboard on 2026-06-16.","Should high‑profile divorces like Jelly Roll's be treated as private family matters or as newsworthy public events?","Jelly Roll filed for divorce from his wife Bunnie XO after nearly a decade of marriage. The filing was confirmed by court documents obtained by TMZ and reported by Billboard on 2026‑06‑16.","Is it appropriate for the media and the public to focus on the details of a celebrity's divorce, or should such personal legal proceedings remain private?","9","10","9","9","9","9.2","9.2","1"
"Iran draw 2-2 with New Zealand in politically charged World Cup match - Al Jazeera","Elijah Just scored both of New Zealand’s goals in either half; Rezaeian and Mohebbi levelled for Iran in Group G game.","Al Jazeera English","philosophical","sports; football; World Cup; political tension","Iran; New Zealand; Elijah Just; Rezaeian; Mohebbi; Al Jazeera English; World Cup; Group G","Iran drew 2-2 with New Zealand in a World Cup Group G match.; Elijah Just scored both of New Zealand’s goals, one in each half.; Rezaeian and Mohebbi scored for Iran.; The match was described as politically charged.","To what extent should political tensions surrounding a World Cup match affect its interpretation and significance in the sport?","Iran and New Zealand drew 2-2 in a Group G World Cup match. Elijah Just scored both goals for New Zealand, one in each half, while Rezaeian and Mohebbi scored for Iran. The match was described as politically charged.","Should political contexts influence how World Cup matches are viewed and discussed?","10","10","7","10","10","9.4","9.4","1"
"Iran draw 2-2 with New Zealand in politically charged World Cup match - Al Jazeera","Elijah Just scored both of New Zealand’s goals in either half; Rezaeian and Mohebbi levelled for Iran in Group G game.","Al Jazeera English","controversy","sports; football; World Cup; political tension","Iran; New Zealand; Elijah Just; Rezaeian; Mohebbi; Al Jazeera English; World Cup; Group G","Iran drew 2-2 with New Zealand in a World Cup Group G match.; Elijah Just scored both of New Zealand’s goals, one in each half.; Rezaeian and Mohebbi scored for Iran.; The match was described as politically charged.","Should politically charged narratives be separated from the analysis of football performance in World Cup matches?","Iran and New Zealand played to a 2-2 draw in a World Cup Group G match. Elijah Just scored both goals for New Zealand, while Rezaeian and Mohebbi scored for Iran. Observers described the match as politically charged.","Is it appropriate to treat political context as a separate factor from evaluating the sporting merits of a World Cup match?","10","10","7","10","9","9.2","9.2","1"
